den,ge'maal ,époux,spouse (male),"Gemahl, Gatte"
,ge'mensam,commun,common,gemeinsam
den,gener'al,général,general,General
den,ge'selen,associé,"associate, partner",Geselle
,Geiserik ,Genséric,Genseric,Geiserich
den,geit ,chèvre,goat,"Ziege, Geiß"
,gelde/gald/golden,valoir,to be worth something,gelten
,ge'love,"promettre, ",to promise,versprechen
,gelv ,jaune,yellow,gelb
,ge'men,commun,commun,gemein
,gen ,contre,against,gegen
den,gensats,contraire,"contrary, opposite",Gegensatz
,germ'anisch ,germanique,Germanic,germanisch
dat,ge'spenst,fantôme,ghost,"Gespenst, Spuk"
,gester ,hier,yesterday,gestern
dat,ge'vär ,fusil,rifle,Gewehr
dat,gift ,poison,poison,Gift
den,gir,avidité,greed,Gier
,give/gav/given ,donner,to give,geben
,glad ,"content, joyeux",glad,froh
dat,glas ,verre,glass,Glas
,glatt ,lisse,smooth,glatt
